imports,biomass,geothermal,coal,natural gas,other,time,wind,biogas,date,small hydro,batteries,solar,nuclear,large hydro
7668,251,988,10,6172,0,00:00,2848,225,2019-01-07,186,-47,0,2268,926
7582,253,987,11,5171,0,01:00,3177,225,2019-01-07,188,6,0,2266,683
7467,252,988,11,5727,0,02:00,2885,225,2019-01-07,148,-18,0,2269,350
7387,255,989,10,5991,0,03:00,2511,225,2019-01-07,141,-27,0,2268,351
7745,239,938,11,6531,0,04:00,1811,225,2019-01-07,184,-6,0,2267,357
7712,243,919,13,6517,0,05:00,1348,225,2019-01-07,179,-2,0,2267,1194
8093,242,919,11,8022,0,06:00,1162,217,2019-01-07,182,-24,0,2268,1587
9159,199,919,11,9281,0,07:00,1004,216,2019-01-07,182,-13,14,2267,2069
9645,197,919,11,8294,0,08:00,896,221,2019-01-07,187,3,1425,2269,1819
7993,200,918,13,7773,0,09:00,757,214,2019-01-07,185,-32,3658,2268,1668
7507,194,917,13,6481,0,10:00,777,214,2019-01-07,189,-31,5312,2268,1346
6105,198,902,12,6288,0,11:00,745,213,2019-01-07,190,-31,6437,2269,1155
5588,196,904,14,6352,0,12:00,671,211,2019-01-07,190,60,6564,2269,1115
7703,287,878,13,8055,0,00:00,814,198,2019-01-08,160,9,0,2266,1231
7120,298,879,11,8211,0,01:00,658,198,2019-01-08,147,-6,0,2265,952
6816,300,882,11,8691,0,02:00,562,198,2019-01-08,149,-7,0,2265,564
6469,305,879,12,8520,0,03:00,736,198,2019-01-08,146,-17,0,2265,569
6695,304,877,12,8165,0,04:00,952,198,2019-01-08,148,-18,0,2263,604
6976,305,877,11,8807,0,05:00,930,198,2019-01-08,149,-52,0,2265,775
7607,307,875,12,9776,0,06:00,823,201,2019-01-08,191,-11,0,2265,1131
8572,307,876,12,11021,0,07:00,718,194,2019-01-08,201,30,28,2264,1478
7074,303,875,11,10772,0,08:00,485,197,2019-01-08,210,-30,1894,2264,1657
6386,315,875,12,9582,0,09:00,397,201,2019-01-08,174,-4,4207,2266,1155
5743,313,867,13,8556,0,10:00,446,199,2019-01-08,187,16,5551,2265,1063
4821,311,868,13,8610,0,11:00,423,201,2019-01-08,188,0,6240,2264,678
4724,307,867,13,8808,0,12:00,478,202,2019-01-08,183,0,6106,2264,599
4840,302,868,14,8950,0,13:00,364,204,2019-01-08,190,40,5931,2263,476
5226,303,869,13,8570,0,14:00,429,205,2019-01-08,189,-12,5465,2263,763
6287,316,870,13,9007,0,15:00,566,200,2019-01-08,196,20,3873,2263,912
7712,315,870,12,8635,0,00:00,648,227,2019-01-09,205,-23,0,2267,871
6936,313,870,13,8685,0,01:00,833,228,2019-01-09,176,-6,0,2264,665
6705,317,874,13,8223,0,02:00,1053,227,2019-01-09,187,-30,0,2265,523
6514,311,876,12,8071,0,03:00,1038,228,2019-01-09,188,-2,0,2265,539
6752,320,835,12,8376,0,04:00,627,228,2019-01-09,197,36,0,2262,629
7457,323,876,13,8594,0,05:00,458,228,2019-01-09,204,-19,0,2263,858
8054,324,875,12,8759,0,06:00,690,226,2019-01-09,242,-28,0,2262,1491
9296,297,876,13,9559,0,07:00,649,225,2019-01-09,239,48,1,2261,1966
7939,323,875,10,8990,0,08:00,691,222,2019-01-09,236,-23,2261,2262,1851
6883,332,877,12,7663,0,09:00,464,219,2019-01-09,229,-49,4976,2262,1389
5806,334,874,12,7436,0,10:00,601,219,2019-01-09,226,-3,5814,2262,1116
5339,316,835,13,7388,0,11:00,450,218,2019-01-09,235,31,5980,2263,1027
5113,319,835,13,7646,0,12:00,364,216,2019-01-09,188,39,5946,2262,867
5263,315,875,13,7535,0,13:00,506,218,2019-01-09,223,-21,6160,2261,643
5543,316,873,13,7422,0,14:00,503,223,2019-01-09,221,23,5943,2261,961
6298,313,877,13,7970,0,15:00,855,223,2019-01-09,256,-31,4171,2262,1243
7725,342,886,13,7416,0,00:00,1542,225,2019-01-10,251,4,0,2264,1040
7085,346,884,13,7313,0,01:00,1784,225,2019-01-10,249,-16,0,2260,749
6695,345,886,13,7303,0,02:00,1705,225,2019-01-10,215,6,0,2261,694
6849,352,886,13,7266,0,03:00,1279,225,2019-01-10,202,-6,0,2260,666
6891,351,887,12,7293,0,04:00,1436,217,2019-01-10,200,-1,0,2260,701
7225,350,887,12,7430,0,05:00,1597,221,2019-01-10,244,-18,0,2261,941
8254,349,887,12,8330,0,06:00,1607,228,2019-01-10,248,-37,0,2262,1143
9158,355,888,12,9517,0,07:00,1521,227,2019-01-10,281,14,0,2263,1559
8456,357,888,13,7974,0,08:00,1364,227,2019-01-10,240,-8,2305,2262,1790
7006,346,886,12,6855,0,09:00,941,227,2019-01-10,213,-43,5361,2262,1332
6401,334,885,13,5910,0,10:00,591,227,2019-01-10,201,-1,6684,2263,1109
