date,hour,wind,solar,thermal
2018-01-23,0,448,0,6976
2018-01-23,1,459,0,6657
2018-01-23,2,513,0,6462
2018-01-23,3,523,0,6380
2018-01-23,4,495,0,7083
2018-01-23,5,455,0,8012
2018-01-23,6,491,0,9050
2018-01-23,7,412,1255,8622
2018-01-23,8,366,4563,7378
2018-01-23,9,328,6410,6328
2018-01-23,10,411,6809,5762
2018-01-23,11,457,6975,5449
2018-01-23,12,455,7278,5298
2018-01-23,13,317,7544,5306
2018-01-23,14,241,7206,5696
2018-01-23,15,188,5412,6458
2018-01-23,16,185,1597,9214
2018-01-23,17,270,20,10881
2018-01-23,18,340,0,11159
2018-01-23,19,386,0,10905
2018-01-23,20,303,0,10572
2018-01-23,21,257,0,10153
2018-01-23,22,238,0,9009
2018-01-23,23,251,0,7874
2018-01-24,0,247,0,7329
2018-01-24,1,266,0,7209
2018-01-24,2,266,0,6859
2018-01-24,3,338,0,6649
2018-01-24,4,398,0,6835
2018-01-24,5,432,0,7264
2018-01-24,6,539,0,7697
2018-01-24,7,584,1388,7454
2018-01-24,8,592,4994,5755
2018-01-24,9,572,7246,4589
2018-01-24,10,523,7576,4190
2018-01-24,11,543,7336,4120
2018-01-24,12,645,7228,4146
2018-01-24,13,698,7012,4212
2018-01-24,14,910,6332,4692
2018-01-24,15,1059,4050,5531
2018-01-24,16,782,1073,7919
2018-01-24,17,790,3,9553
2018-01-24,18,1002,0,10045
2018-01-24,19,976,0,9465
2018-01-24,20,1067,0,9132
2018-01-24,21,936,0,8481
2018-01-24,22,864,0,7520
2018-01-24,23,907,0,6684
2018-01-25,0,1063,0,5910
2018-01-25,1,1174,0,5708
2018-01-25,2,1215,0,5386
2018-01-25,3,1164,0,5327
2018-01-25,4,1221,0,5448
2018-01-25,5,1609,0,5789
2018-01-25,6,1745,0,6908
2018-01-25,7,2092,941,6797
2018-01-25,8,2549,3983,5365
2018-01-25,9,2967,6210,3891
2018-01-25,10,3132,6637,3730
2018-01-25,11,3323,6594,3730
2018-01-25,12,3357,6628,3502
2018-01-25,13,3743,6609,3252
2018-01-25,14,3725,5894,3334
2018-01-25,15,3364,4326,4206
2018-01-25,16,2908,1495,5451
2018-01-25,17,2710,90,7278
2018-01-25,18,2516,0,8039
2018-01-25,19,2191,0,8140
2018-01-25,20,2108,0,7711
2018-01-25,21,2053,0,7084
2018-01-25,22,2254,0,5903
2018-01-25,23,3358,0,4436
2018-01-26,0,3759,0,4379
2018-01-26,1,3654,0,4246
2018-01-26,2,3579,0,4010
2018-01-26,3,3450,0,4137
2018-01-26,4,3261,0,4299
2018-01-26,5,2540,0,4811
2018-01-26,6,2013,0,6239
2018-01-26,7,1503,1220,6778
2018-01-26,8,906,5076,5664
2018-01-26,9,687,7112,4288
2018-01-26,10,620,7334,4213
2018-01-26,11,535,7416,3822
2018-01-26,12,518,7428,3666
2018-01-26,13,613,7479,3614
2018-01-26,14,625,7123,4011
2018-01-26,15,597,5740,4548
2018-01-26,16,579,1744,6443
2018-01-26,17,630,59,8498
2018-01-26,18,685,25,8680
2018-01-26,19,715,24,8531
2018-01-26,20,962,25,8155
2018-01-26,21,869,24,7783
2018-01-26,22,679,15,7372
2018-01-26,23,469,0,6547
2018-01-27,0,337,0,6171
2018-01-27,1,425,0,5854
2018-01-27,2,516,0,5584
2018-01-27,3,657,0,5250
2018-01-27,4,747,0,5200
2018-01-27,5,865,0,5202
2018-01-27,6,698,0,5469
2018-01-27,7,241,1424,5563
2018-01-27,8,204,4783,3843
2018-01-27,9,251,6790,3110
2018-01-27,10,328,7491,2558
2018-01-27,11,412,7609,2268
2018-01-27,12,467,7652,2224
2018-01-27,13,518,7760,2202
2018-01-27,14,530,7210,2669
2018-01-27,15,466,5705,3405
2018-01-27,16,466,1910,4487
2018-01-27,17,586,44,6262
2018-01-27,18,704,0,6857
2018-01-27,19,887,0,6344
2018-01-27,20,961,0,5829
2018-01-27,21,967,0,5709
2018-01-27,22,953,0,5854
2018-01-27,23,1023,0,5276
2018-01-28,0,988,0,4580
2018-01-28,1,1046,0,3933
2018-01-28,2,1085,0,3697
2018-01-28,3,1095,0,3461
2018-01-28,4,1155,0,3628
2018-01-28,5,1090,0,3759
2018-01-28,6,1088,0,4181
2018-01-28,7,988,1525,3610
2018-01-28,8,879,5378,2447
2018-01-28,9,892,7456,2047
2018-01-28,10,994,7979,2100
2018-01-28,11,1071,7903,2196
2018-01-28,12,1077,7889,2362
2018-01-28,13,1102,8024,2458
2018-01-28,14,1106,7674,2834
2018-01-28,15,1014,6116,3463
2018-01-28,16,843,2089,5356
2018-01-28,17,807,73,6892
2018-01-28,18,950,0,7056
2018-01-28,19,848,0,6663
2018-01-28,20,799,0,6475
2018-01-28,21,721,0,6453
2018-01-28,22,866,0,5671
2018-01-28,23,870,0,5398
2018-01-29,0,732,0,5107
2018-01-29,1,617,0,4895
2018-01-29,2,475,0,4824
2018-01-29,3,478,0,4901
2018-01-29,4,576,0,5185
2018-01-29,5,538,0,5899
2018-01-29,6,551,1,6998
2018-01-29,7,522,1422,6855
2018-01-29,8,511,4542,5464
2018-01-29,9,533,6472,4841
2018-01-29,10,546,7387,4974
2018-01-29,11,660,7351,5333
2018-01-29,12,813,7233,5599
2018-01-29,13,939,6905,5888
2018-01-29,14,896,5739,6588
2018-01-29,15,688,3573,7457
2018-01-29,16,659,1112,8824
2018-01-29,17,668,16,10011
2018-01-29,18,684,0,9860
2018-01-29,19,699,0,9382
2018-01-29,20,657,0,8923
2018-01-29,21,659,0,8460
2018-01-29,22,676,0,7489
2018-01-29,23,667,0,6503
2018-01-30,0,652,0,5249
2018-01-30,1,646,0,4769
2018-01-30,2,658,0,4697
2018-01-30,3,644,0,4600
2018-01-30,4,609,0,4658
2018-01-30,5,600,0,5407
2018-01-30,6,588,0,6769
2018-01-30,7,520,715,7101
2018-01-30,8,529,2649,6661
2018-01-30,9,479,4377,5963
2018-01-30,10,464,5793,5475
2018-01-30,11,526,6290,5391
2018-01-30,12,576,6663,5368
2018-01-30,13,574,6176,5816
2018-01-30,14,612,5810,6201
2018-01-30,15,624,4282,6840
2018-01-30,16,625,1496,7603
2018-01-30,17,601,19,8874
2018-01-30,18,571,0,9292
2018-01-30,19,614,0,9163
2018-01-30,20,839,0,9138
2018-01-30,21,876,0,8225
2018-01-30,22,852,0,7102
2018-01-30,23,1285,0,5273
2018-01-31,0,1338,0,4383
2018-01-31,1,1376,0,4359
2018-01-31,2,1259,0,4171
2018-01-31,3,1205,0,4349
2018-01-31,4,1160,0,4423
2018-01-31,5,1067,0,5635
2018-01-31,6,997,0,6843
2018-01-31,7,827,1562,7103
2018-01-31,8,656,5384,5533
2018-01-31,9,580,7417,5017
2018-01-31,10,562,7859,5056
2018-01-31,11,603,7893,5244
2018-01-31,12,654,7903,5093
2018-01-31,13,646,8008,5371
2018-01-31,14,710,7737,5605
2018-01-31,15,737,6155,5949
2018-01-31,16,570,2204,7550
2018-01-31,17,568,90,9072
2018-01-31,18,592,0,9593
2018-01-31,19,558,0,8955
2018-01-31,20,545,0,8680
2018-01-31,21,529,0,8183
2018-01-31,22,556,0,7344
2018-01-31,23,509,0,6404
2018-02-01,0,477,0,5702
2018-02-01,1,478,0,5591
2018-02-01,2,413,0,5584
2018-02-01,3,330,0,5835
2018-02-01,4,289,0,5994
2018-02-01,5,277,0,6494
2018-02-01,6,171,4,7909
2018-02-01,7,84,1566,7764
2018-02-01,8,80,5500,5800
2018-02-01,9,92,7204,5605
2018-02-01,10,75,7534,5578
2018-02-01,11,55,7610,5481
2018-02-01,12,59,7600,5363
2018-02-01,13,90,7434,5582
2018-02-01,14,210,6990,5989
2018-02-01,15,200,5508,6227
2018-02-01,16,194,1932,8037
2018-02-01,17,224,93,9159
2018-02-01,18,271,0,9611
2018-02-01,19,280,0,9369
2018-02-01,20,320,0,8647
2018-02-01,21,404,0,7840
2018-02-01,22,377,0,7162
2018-02-01,23,347,0,6769
2018-02-02,0,261,0,5950
2018-02-02,1,208,0,5158
2018-02-02,2,145,0,5040
2018-02-02,3,237,0,4957
2018-02-02,4,467,0,5104
2018-02-02,5,532,0,5867
2018-02-02,6,446,12,7082
2018-02-02,7,563,1540,6681
2018-02-02,8,570,5048,5083
2018-02-02,9,560,7039,4389
2018-02-02,10,810,7558,4334
2018-02-02,11,928,7489,4008
2018-02-02,12,685,7414,4222
2018-02-02,13,594,7316,4359
2018-02-02,14,621,6912,4556
2018-02-02,15,655,5187,5446
2018-02-02,16,583,1842,6992
2018-02-02,17,507,36,8620
2018-02-02,18,493,0,9050
2018-02-02,19,515,0,8473
2018-02-02,20,552,0,8498
2018-02-02,21,550,0,7744
2018-02-02,22,516,0,6932
2018-02-02,23,485,0,6032
2018-02-03,0,578,0,4981
2018-02-03,1,783,0,3716
2018-02-03,2,937,0,3254
2018-02-03,3,973,0,3173
2018-02-03,4,821,0,3218
2018-02-03,5,798,0,3811
2018-02-03,6,853,0,3997
2018-02-03,7,757,1692,3444
2018-02-03,8,548,5568,2189
2018-02-03,9,565,7573,1590
2018-02-03,10,674,7780,1428
2018-02-03,11,531,7980,1536
2018-02-03,12,509,7949,1650
2018-02-03,13,439,7922,1987
2018-02-03,14,380,7388,2493
2018-02-03,15,300,6042,3025
2018-02-03,16,292,2328,4495
2018-02-03,17,341,57,6289
2018-02-03,18,387,0,7153
2018-02-03,19,506,0,7052
2018-02-03,20,569,0,6852
2018-02-03,21,553,0,6763
2018-02-03,22,453,0,6178
2018-02-03,23,407,0,5370
2018-02-04,0,305,0,4680
2018-02-04,1,290,0,3809
2018-02-04,2,392,0,3444
2018-02-04,3,491,0,3163
